slide,OB,CB,FB,GC,HN,VR
2021-12-08 18.15.44,776461,138060,13594,0,1313,327
2021-12-08 18.40.42,899653,324,0,0,18870,8296
2021-12-08 18.55.39,500009,1158,13207,482,18862,0
2021-12-08 19.05.20,12330,0,0,0,0,0
2021-12-08 19.12.33,744907,0,0,0,1476,1759
2021-12-08 19.36.05,262017,0,0,0,167457,3031800
2021-12-08 19.58.31,177955,0,324,0,0,0
2021-12-08 20.06.46,1035340,0,292,0,0,150775
2021-12-08 20.14.33,0,0,0,0,0,0
2021-12-08 20.23.02,911604,3396,0,342,2145,1152
2021-12-08 20.37.13,157887,798847,0,0,143862,15323
2021-12-08 20.48.39,1084252,3231,0,0,17542,151652
2021-12-08 20.59.03,1110564,0,0,0,44433,10161
2021-12-08 21.11.11,1586880,0,0,0,1729,10997
2021-12-08 21.22.37,355267,0,2290,0,342,9371
2021-12-08 21.28.13,291107,7950,0,218,1456,729
2021-12-08 21.34.06,10973,0,18593,0,0,15362
2021-12-08 21.47.25,1728094,0,3626,0,11130,3751
2021-12-08 22.15.44,325378,5314,0,0,81199,675
2021-12-08 22.33.21,1475183,0,0,0,24677,15450
2021-12-08 22.44.37,300649,324,13680,0,974,4266
2021-12-08 22.55.56,207636,0,217147,0,729,0
2021-12-10 00.36.19,74545,0,3233,0,0,1705
2021-12-10 00.49.31,1015046,2357,0,0,109610,126855
2021-12-10 01.25.59,110268,1943,0,0,4885,58341
2021-12-10 01.37.13,877333,0,0,0,0,195211
2021-12-10 01.48.26,182252,0,0,0,0,4055
2021-12-10 01.53.38,385594,0,2416,0,1309,361
2021-12-10 02.05.21,1274837,6886,2337,0,14072,15876
2021-12-10 02.36.16,102433,3279,0,0,5705,0
2021-12-10 02.45.10,16339,0,0,0,41727,0
2022-01-10 15.56.03,164003,324,0,0,13584,3787
2022-01-10 16.13.02,262240,342,0,0,42498,838
2022-01-10 16.26.13,1031752,0,2818,0,44145,128666
2022-01-10 16.41.35,161995,0,25104,0,1800,648
2022-01-10 16.50.24,227662,0,2641,0,8477,324
2022-01-10 16.59.04,300860,107061,0,0,1026,4128
2022-01-10 17.04.58,212595,4130,0,0,8055,42278
